user_id,username,text,dateUTC
9384318417,_m_nazish_,U r best then trump,1556737431
104934384,bestcoastsam,Please come back and save America. 🇺🇸,1556737216
1288903601,_gabe2910,@sustainablelivingactivist no,1556737122
53164549,rammvis,"@jstreisant i commute 2 hours to and from work try again dumb dumb, what makes you special.",1556737045
12341332223,travelflemingo,Go Dad 2020 because i am dad..after Obama trump was the only option!,1556736960
1566815977,jstreisant,@rammvis lazy I worked my whole life without asking anybody for any help for anything not like you people,1556736892
9673544803,pibroening,good afternoon all,1556736610
3636131402,peytoncanbrie,@canwill7 you sound obsessed,1556736520
8695712219,elmondo2010,👌😊💚,1556736517
8695712219,elmondo2010,👌😊💚,1556736506
5627491958,pourya9624,❤️,1556736454
13207683009,arun_kazhakam,Most humble US President..,1556736104
7792909505,allisonschallert,Come back. Save us,1556735852
13244986877,jessica.persons.1004,❤️,1556735631
1061202141,argiafriandi,I wanna join this :(,1556735570
4840009406,turqoise_2,Miss you President Obama,1556735567
1961151078,gsiev12,@barackobama trump2020,1556735483
9384318417,_m_nazish_,U r best then trump,1556737431
104934384,bestcoastsam,Please come back and save America. 🇺🇸,1556737216
1288903601,_gabe2910,@sustainablelivingactivist no,1556737122
53164549,rammvis,"@jstreisant i commute 2 hours to and from work try again dumb dumb, what makes you special.",1556737045
12341332223,travelflemingo,Go Dad 2020 because i am dad..after Obama trump was the only option!,1556736960
1566815977,jstreisant,@rammvis lazy I worked my whole life without asking anybody for any help for anything not like you people,1556736892
9673544803,pibroening,good afternoon all,1556736610
3636131402,peytoncanbrie,@canwill7 you sound obsessed,1556736520
8695712219,elmondo2010,👌😊💚,1556736517
8695712219,elmondo2010,👌😊💚,1556736506
5627491958,pourya9624,❤️,1556736454
13207683009,arun_kazhakam,Most humble US President..,1556736104
7792909505,allisonschallert,Come back. Save us,1556735852
13244986877,jessica.persons.1004,❤️,1556735631
1061202141,argiafriandi,I wanna join this :(,1556735570
4840009406,turqoise_2,Miss you President Obama,1556735567
1961151078,gsiev12,@barackobama trump2020,1556735483
9384318417,_m_nazish_,U r best then trump,1556737431
104934384,bestcoastsam,Please come back and save America. 🇺🇸,1556737216
1288903601,_gabe2910,@sustainablelivingactivist no,1556737122
53164549,rammvis,"@jstreisant i commute 2 hours to and from work try again dumb dumb, what makes you special.",1556737045
12341332223,travelflemingo,Go Dad 2020 because i am dad..after Obama trump was the only option!,1556736960
1566815977,jstreisant,@rammvis lazy I worked my whole life without asking anybody for any help for anything not like you people,1556736892
9673544803,pibroening,good afternoon all,1556736610
3636131402,peytoncanbrie,@canwill7 you sound obsessed,1556736520
8695712219,elmondo2010,👌😊💚,1556736517
8695712219,elmondo2010,👌😊💚,1556736506
5627491958,pourya9624,❤️,1556736454
13207683009,arun_kazhakam,Most humble US President..,1556736104
7792909505,allisonschallert,Come back. Save us,1556735852
13244986877,jessica.persons.1004,❤️,1556735631
1061202141,argiafriandi,I wanna join this :(,1556735570
4840009406,turqoise_2,Miss you President Obama,1556735567
1961151078,gsiev12,@barackobama trump2020,1556735483
9384318417,_m_nazish_,U r best then trump,1556737431
104934384,bestcoastsam,Please come back and save America. 🇺🇸,1556737216
1288903601,_gabe2910,@sustainablelivingactivist no,1556737122
53164549,rammvis,"@jstreisant i commute 2 hours to and from work try again dumb dumb, what makes you special.",1556737045
12341332223,travelflemingo,Go Dad 2020 because i am dad..after Obama trump was the only option!,1556736960
1566815977,jstreisant,@rammvis lazy I worked my whole life without asking anybody for any help for anything not like you people,1556736892
9673544803,pibroening,good afternoon all,1556736610
3636131402,peytoncanbrie,@canwill7 you sound obsessed,1556736520
8695712219,elmondo2010,👌😊💚,1556736517
8695712219,elmondo2010,👌😊💚,1556736506
5627491958,pourya9624,❤️,1556736454
13207683009,arun_kazhakam,Most humble US President..,1556736104
7792909505,allisonschallert,Come back. Save us,1556735852
13244986877,jessica.persons.1004,❤️,1556735631
1061202141,argiafriandi,I wanna join this :(,1556735570
4840009406,turqoise_2,Miss you President Obama,1556735567
1961151078,gsiev12,@barackobama trump2020,1556735483
4102025477,sohrabi.farzaneh,@michelkaraaslan1907 I don't know,1556737585
9384318417,_m_nazish_,U r best then trump,1556737431
104934384,bestcoastsam,Please come back and save America. 🇺🇸,1556737216
1288903601,_gabe2910,@sustainablelivingactivist no,1556737122
53164549,rammvis,"@jstreisant i commute 2 hours to and from work try again dumb dumb, what makes you special.",1556737045
12341332223,travelflemingo,Go Dad 2020 because i am dad..after Obama trump was the only option!,1556736960
1566815977,jstreisant,@rammvis lazy I worked my whole life without asking anybody for any help for anything not like you people,1556736892
9673544803,pibroening,good afternoon all,1556736610
